"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","kponmap6d3","24","textures_list1","","","",""
"","","","","","html-button-response","1","5230","0.0-1.0","kponmap6d3","24","textures_list1","5229","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","17752","0.0-2.0","kponmap6d3","24","textures_list1","11519","","",""
"","","","","","html-button-response","3","178797","0.0-3.0","kponmap6d3","24","textures_list1","161045","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top: auto; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles like this one (hold up smooth tile to show them).
                <br><br> In front of you is a box with 9 texture tiles layed out in 3 rows of three. Please take a moment to feel each of these texture tiles as I explain your task.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones you are feeling now.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole surface of the tile.
                <br> And some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> Your task is to rate how uniform the texture feels on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7. Please make your rating based on your initial intuitions for each texture.
                <br><br> Please be sure to feel the entire texture tile as you make your ratings and use the full range of the scale in your ratings.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","180549","0.0-4.0","kponmap6d3","24","textures_list1","1752","<p>You have been assigned to <strong>textures_list1</strong>.</p>
               <p>Press any key to begin the experiment.</p>","enter",""
"","","","","","survey-text","5","249501","0.0-5.0","kponmap6d3","24","textures_list1","68951","","{""Q0"":""4""}","D96"
"","","","","","survey-text","6","262741","0.0-6.0","kponmap6d3","24","textures_list1","13238","","{""Q0"":""5""}","D64"
"","","","","","survey-text","7","275445","0.0-7.0","kponmap6d3","24","textures_list1","12702","","{""Q0"":""4""}","D81"
"","","","","","survey-text","8","287621","0.0-8.0","kponmap6d3","24","textures_list1","12174","","{""Q0"":""4""}","D86"
"","","","","","survey-text","9","299181","0.0-9.0","kponmap6d3","24","textures_list1","11558","","{""Q0"":""2""}","D6*"
"","","","","","survey-text","10","310901","0.0-10.0","kponmap6d3","24","textures_list1","11719","","{""Q0"":""3""}","D25"
"","","","","","survey-text","11","323309","0.0-11.0","kponmap6d3","24","textures_list1","12406","","{""Q0"":""4""}","D89"
"","","","","","survey-text","12","335868","0.0-12.0","kponmap6d3","24","textures_list1","12558","","{""Q0"":""4""}","D70"
"","","","","","survey-text","13","350316","0.0-13.0","kponmap6d3","24","textures_list1","14446","","{""Q0"":""5""}","D18"
"","","","","","survey-text","14","360668","0.0-14.0","kponmap6d3","24","textures_list1","10351","","{""Q0"":""4""}","D58"
"","","","","","survey-text","15","375892","0.0-15.0","kponmap6d3","24","textures_list1","15222","","{""Q0"":""1""}","D34"
"","","","","","survey-text","16","388708","0.0-16.0","kponmap6d3","24","textures_list1","12814","","{""Q0"":""1""}","D21"
"","","","","","survey-text","17","401468","0.0-17.0","kponmap6d3","24","textures_list1","12758","","{""Q0"":""4""}","D80"
"","","","","","survey-text","18","411468","0.0-18.0","kponmap6d3","24","textures_list1","9998","","{""Q0"":""3""}","D8"
"","","","","","survey-text","19","421908","0.0-19.0","kponmap6d3","24","textures_list1","10438","","{""Q0"":""6""}","D66"
"","","","","","survey-text","20","437604","0.0-20.0","kponmap6d3","24","textures_list1","15694","","{""Q0"":""4""}","D26"
"","","","","","survey-text","21","448436","0.0-21.0","kponmap6d3","24","textures_list1","10830","","{""Q0"":""6""}","D20"
"","","","","","survey-text","22","458148","0.0-22.0","kponmap6d3","24","textures_list1","9711","","{""Q0"":""1""}","D3*"
"","","","","","survey-text","23","468060","0.0-23.0","kponmap6d3","24","textures_list1","9910","","{""Q0"":""1""}","D42"
"","","","","","survey-text","24","479636","0.0-24.0","kponmap6d3","24","textures_list1","11574","","{""Q0"":""1""}","D68"
"","","","","","survey-text","25","491515","0.0-25.0","kponmap6d3","24","textures_list1","11878","","{""Q0"":""2""}","D2"
"","","","","","survey-text","26","507667","0.0-26.0","kponmap6d3","24","textures_list1","16150","","{""Q0"":""1""}","D106"
"","","","","","survey-text","27","522051","0.0-27.0","kponmap6d3","24","textures_list1","14383","","{""Q0"":""1""}","D69"
