"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","ynkj3rka2g","17","textures_list3","","","",""
"","","","","","html-button-response","1","40015","0.0-1.0","ynkj3rka2g","17","textures_list3","40010","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","41867","0.0-2.0","ynkj3rka2g","17","textures_list3","846","","",""
"","","","","","html-button-response","3","207548","0.0-3.0","ynkj3rka2g","17","textures_list3","165678","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top: auto; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles like this one (hold up smooth tile to show them).
                <br><br> In front of you is a box with 9 texture tiles layed out in 3 rows of three. Please take a moment to feel each of these texture tiles as I explain your task.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones you are feeling now.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole surface of the tile.
                <br> And some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> Your task is to rate how uniform the texture feels on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7. Please make your rating based on your initial intuitions for each texture.
                <br><br> Please be sure to feel the entire texture tile as you make your ratings and use the full range of the scale in your ratings.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","208680","0.0-4.0","ynkj3rka2g","17","textures_list3","1130","<p>You have been assigned to <strong>textures_list3</strong>.</p>
               <p>Press any key to begin the experiment.</p>"," ",""
"","","","","","survey-text","5","233359","0.0-5.0","ynkj3rka2g","17","textures_list3","24668","","{""Q0"":""5""}","D55"
"","","","","","survey-text","6","252355","0.0-6.0","ynkj3rka2g","17","textures_list3","18993","","{""Q0"":""4""}","D19"
"","","","","","survey-text","7","275363","0.0-7.0","ynkj3rka2g","17","textures_list3","23003","","{""Q0"":""4""}","D67"
"","","","","","survey-text","8","294127","0.0-8.0","ynkj3rka2g","17","textures_list3","18760","","{""Q0"":""6""}","D108"
"","","","","","survey-text","9","311890","0.0-9.0","ynkj3rka2g","17","textures_list3","17760","","{""Q0"":""7""}","D40"
"","","","","","survey-text","10","333781","0.0-10.0","ynkj3rka2g","17","textures_list3","21887","","{""Q0"":""7""}","D13"
"","","","","","survey-text","11","358309","0.0-11.0","ynkj3rka2g","17","textures_list3","24524","","{""Q0"":""4""}","D10"
